id,title,prompt,negative_prompt,output_path
RC-001,Ancient Harbor Dawn,"Ancient Roman harbor at sunrise on the Mediterranean coast, massive stone and concrete piers extending into calm blue water, distant Roman ships, soft amber light, mist over the sea, realistic Roman engineering, cinematic drone perspective, epic but grounded historical documentary look, photorealistic, ultra detailed, 16:9.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-001.png
RC-002,Concrete Under the Sea,"Underwater view of ancient Roman concrete blocks resting on the Mediterranean seafloor, covered with subtle marine growth, clear blue water, sunlight rays filtering from above, archaeological atmosphere, realistic texture of aged concrete and stone, quiet mysterious mood, photorealistic underwater documentary still, 16:9.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-002.png
RC-003,Self-Healing Micro Crack,"Extreme macro cross-section of ancient Roman concrete, tiny crack filled with newly formed mineral crystals, Al-tobermorite-like needle crystals under scientific lighting, realistic mineral texture, cinematic macro photography, shallow depth of field, high detail, no labels, 16:9.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-003.png
RC-004,Pantheon Exterior,"The Pantheon in Rome viewed from a low cinematic angle, early morning light, massive ancient columns and weathered stone facade, quiet piazza, realistic historical atmosphere, architectural documentary photography, photorealistic, high detail, 16:9.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-004.png
RC-005,Pantheon Oculus Interior,"Interior of the Pantheon looking upward toward the oculus, sunlight beam entering through the circular opening, massive coffered concrete dome, warm atmospheric light, tourists removed, sacred quiet mood, realistic architectural photography, photorealistic, ultra detailed, 16:9.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-005.png
RC-006,Roman Builders Mixing Concrete,"Ancient Roman workers mixing volcanic ash, lime, and aggregate near a coastal construction site, wooden tools, stone basins, simple linen tunics, realistic historical clothing, no fantasy armor, warm daylight, documentary realism, cinematic composition, photorealistic, 16:9.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-006.png
RC-007,Pozzolana Volcanic Ash,"Pozzolana Volcanic Ash, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-007.png
RC-008,Modern Concrete Failure,"Modern Concrete Failure, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-008.png
RC-009,Caesarea Underwater Ruins,"Caesarea Underwater Ruins, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-009.png
RC-010,Laboratory Concrete Sample,"Laboratory Concrete Sample, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-010.png
RC-011,Microscopy Mineral Surface,"Microscopy Mineral Surface, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-011.png
RC-012,Crystal Growth in Pores,"Crystal Growth in Pores, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-012.png
RC-013,Roman Concrete Cross Section,"Roman Concrete Cross Section, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-013.png
RC-014,Roman Harbor Construction,"Roman Harbor Construction, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-014.png
RC-015,Formula Variation,"Formula Variation, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-015.png
RC-016,Cement Factory Emissions,"Cement Factory Emissions, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-016.png
RC-017,Low Carbon Future,"Low Carbon Future, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-017.png
RC-018,MIT Hot Mixing Recreation,"MIT Hot Mixing Recreation, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-018.png
RC-019,Lime Clasts Macro,"Lime Clasts Macro, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-019.png
RC-020,Pantheon Dome Layers,"Pantheon Dome Layers, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-020.png
RC-021,Mediterranean Harbor Network,"Mediterranean Harbor Network, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-021.png
RC-022,Old vs Modern Concrete Contrast,"Old vs Modern Concrete Contrast, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-022.png
RC-023,Pantheon Final Reflection,"Pantheon Final Reflection, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-023.png
RC-024,Future Learning From Ancient Material,"Future Learning From Ancient Material, cinematic historical documentary style, photorealistic, 16:9, no text.","text, watermark, logo, captions, fantasy ruins, cartoon style, plastic texture, exaggerated CGI, modern construction helmets in ancient scenes, impossible architecture, low resolution, blurry image, deformed hands, extra fingers",assets/images/RC-024.png
